
> -- bases=[17] | base_names=[Berber] | members=32 --
  jerba-berber | Jerba Berber | North Africa | Berber | Afroasiatic | 
  northern-formosan | Northern Formosan | Pacific | Austronesian | Austronesian | 
  northern-luzon | Northern Luzon | Pacific | Austronesian | Austronesian | 
  northern-mindoro | Northern Mindoro | Pacific | Austronesian | Austronesian | 
  philippine | Philippine | Pacific | Austronesian | Austronesian | 
  south-mindanao | South Mindanao | Pacific | Austronesian | Austronesian | 
  tsouic | Tsouic | Pacific | Austronesian | Austronesian | 
  greater-central-philippine | Greater Central Philippine | Pacific | Austronesian | Austronesian | family
  batanic | Batanic | Pacific | Austronesian | Austronesian | family
  central-luzon | Central Luzon | Pacific | Austronesian | Austronesian | family
  
  -- bases=[179] | base_names=[Khmer] | members=9 --
  kasong | Kasong | Asia | Pearic | Austroasiatic | 
  katu | Katu | Asia | Katuic | Austroasiatic | 
  khm-khe | Khe Khmer | Asia | Khmeric | Austroasiatic | 
  khm-northern | Northern Khmer | Asia | Khmeric | Austroasiatic | 
  khm-western | Western Khmer | Asia | Khmeric | Austroasiatic | 
  khmu | Khmu | Asia | Khmuic | Austroasiatic | 
  kuy | Kuy | Asia | Katuic | Austroasiatic | 
  katuic | Katuic languages | Asia | Katuic | Austroasiatic | family
  khmuic | Khmuic languages | Asia | Khmuic | Austroasiatic | family
  
  -- bases=[199] | base_names=[Tamil] | members=9 --
  kolami | Kolami | Asia | Central Dravidian | Dravidian | 
  koraga | Koraga | Asia | South Dravidian | Dravidian | 
  kota-dravidian | Kota | Asia | South Dravidian | Dravidian | 
  kudiya-dravidian | Kudiya | Asia | South Dravidian | Dravidian | 
  kui-dravidian | Kui Dravidian | Asia | South-Central Dravidian | Dravidian | 
  kumbaran | Kumbaran | Asia | South Dravidian | Dravidian | 
  paniya | Paniya | Asia | South Dravidian | Dravidian | 
  pardhan | Pardhan | Asia | South-Central Dravidian | Dravidian | 
  pathiya | Pathiya | Asia | South Dravidian | Dravidian | 
  
  -- bases=[223] | base_names=[Georgian] | members=8 --
  georgian-dialects | Georgian regional lects | Caucasus | Kartvelian | Kartvelian | family,dialect
  old-georgian | Old Georgian | Caucasus | Kartvelian | Kartvelian | historical,extinct
  proto-georgian-zan | Proto-GeorgianΓÇôZan | Caucasus | Proto-GeorgianΓÇôZan | Kartvelian | proto,extinct,historical
  proto-kartvelian | Proto-Kartvelian | Caucasus | Proto-Kartvelian | Kartvelian | proto,extinct,historical
  zan | Zan languages | Caucasus | GeorgianΓÇôZan | Kartvelian | family
  judaeo-georgian | Judaeo-Georgian | Caucasus | Kartvelian | Kartvelian | judeo
  karto-zan | GeorgianΓÇôZan | Caucasus | GeorgianΓÇôZan | Kartvelian | family
  kartvelian-languages | Kartvelian languages | Caucasus | Kartvelian | Kartvelian | family
  
  -- bases=[47] | base_names=[Tibetan] | members=8 --
  tibetic | Tibetic | Sino-Tibetan region | Sino-Tibetan | Sino-Tibetan | 
  jul | Jirel | Asia | Tibetic | Sino-Tibetan | 
  scp | Hyolmo (Yolmo) | Asia | Tibetic | Sino-Tibetan | 
  syw | Kagate (Syuba) | Asia | Tibetic | Sino-Tibetan | 
  loy | Lhowa (Lhopa) | Asia | Tibetic | Sino-Tibetan | 
  lhm | Lhomi | Asia | Tibetic | Sino-Tibetan | 
  tcn | Tichurong | Asia | Tibetic | Sino-Tibetan | 
  ola | Walungge | Asia | Tibetic | Sino-Tibetan | 
  
  -- bases=[380] | base_names=[Tungusic] | members=7 --
  ewenic | Ewenic | Asia | Ewenic | Tungusic | 
  nanaic | Nanaic | Asia | Nanaic | Tungusic | 
  northern-tungusic | Northern Tungusic | Asia | Northern Tungusic | Tungusic | 
  southern-tungusic | Southern Tungusic | Asia | Southern Tungusic | Tungusic | 
  tungusic-languages | Tungusic languages | Asia | Tungusic | Tungusic | family
  udegheic | Udegheic | Asia | Udegheic | Tungusic | 
  jurchenic | Jurchenic | Asia | Jurchenic | Tungusic | 
  
  -- bases=[55] | base_names=[Tamangic] | members=6 --
  taman | Taman | Sino-Tibetan region | Sino-Tibetan | Sino-Tibetan | 
  tamangic | Tamangic | Sino-Tibetan region | Sino-Tibetan | Sino-Tibetan | 
  tge | Tamang | Asia | Tamangic | Sino-Tibetan | 
  ths | Thakali | Asia | Tamangic | Sino-Tibetan | 
  ghh | Northern Ghale | Asia | Tamangic | Sino-Tibetan | 
  ghe | Southern Ghale | Asia | Tamangic | Sino-Tibetan | 
  
  -- bases=[183,201,257] | base_names=[Hindi,Bengali,Assamese] | members=4 --
  x-nepal-kewarat | Kewarat | Asia | Indo-Aryan | Indo-Aryan | alias
  vjk | Bajjika | Asia | Bihari | Indo-Aryan | 
  jml | Jumli | Asia | Eastern Pahari | Indo-Aryan | 
  soi | Sonha | Asia | Western Hindi | Indo-Aryan | 
  
  -- bases=[181] | base_names=[Santali] | members=3 --
  munda | Munda languages | Asia | Munda | Austroasiatic | family
  gta | Gta | Asia | Munda | Austroasiatic | 
  ho-munda | Ho (Munda) | Asia | Munda | Austroasiatic | 
  
  -- bases=[360,365] | base_names=[Papuan,Engan Papuan] | members=3 --
  binanderean | Binanderean | Pacific | Papuan | Papuan | family
  kutubuan-languages | Kutubuan languages | Pacific | TransΓÇôNew Guinea | Papuan | family
  suena | Suena | Pacific | Binanderean | Papuan | 
  
  -- bases=[47,48] | base_names=[Tibetan,Burmese] | members=3 --
  proto-tibeto-burman | Proto Tibeto Burman | Sino-Tibetan region | Sino-Tibetan | Sino-Tibetan | 
extinct,unclassified,proto,historical
  tibeto-burman | Tibeto Burman | Sino-Tibetan region | Sino-Tibetan | Sino-Tibetan | 
  sal | Sal | Sino-Tibetan region | Sino-Tibetan | Sino-Tibetan | family
  
  -- bases=[11,81] | base_names=[Chinese,Toto] | members=2 --
  e | E mixed | Misc | Mixed | Mixed | mixed
  sino-tibetan-family | Sino Tibetan Family | Sino-Tibetan region | Sino-Tibetan | Sino-Tibetan | family
  
  -- bases=[146] | base_names=[Lingala] | members=2 --
  lingala | Lingala | Africa | Bantu | Niger-Congo | 
  niger-congo-family | Niger Congo family | Africa | Niger-Congo | Niger-Congo | family
  
  -- bases=[183] | base_names=[Hindi] | members=2 --
  kra | Kumhali | Asia | Indo-Aryan | Indo-Aryan | 
  kumhali | Kumhali (alias) | Asia | Indo-Aryan | Indo-Aryan | alias
  
  -- bases=[183,201,256] | base_names=[Hindi,Bengali,Odia] | members=2 --
  thr | Rana Tharu | Asia | Tharu | Indo-Aryan | 
  lmn | Lambadi | Asia | Indo-Aryan | Indo-Aryan | 
  
  -- bases=[193,194,197] | base_names=[Tagalog,Indonesian,Samoan] | members=2 --
  ppu | Papora-Hoanya | Pacific | Formosan | Austronesian | 
  east-formosan | East Formosan | Pacific | Austronesian | Austronesian | family
  
  -- bases=[194,198] | base_names=[Indonesian,Fijian] | members=2 --
  papuan-tip | Papuan Tip | Pacific | Austronesian | Austronesian | 
  cenderawasih | Cenderawasih | Pacific | Austronesian | Austronesian | family
  
  -- bases=[198,369] | base_names=[Fijian,Micronesian] | members=2 --
  micronesian | Micronesian | Pacific | Micronesian | Micronesian | family
  kos | Kosraean | Pacific | Micronesian | Micronesian | 
  
  -- bases=[251,252,317,530,532] | base_names=[Thai,Lao,Kra,Zhuang,Shan] | members=2 --
  phake | Phake | Asia | Tai-Kadai | Tai-Kadai | 
  proto-tai | Proto-Tai | Asia | Tai | Tai-Kadai | proto,extinct,historical
  
  -- bases=[252,317,318,530] | base_names=[Lao,Kra,Hlai,Zhuang] | members=2 --
  tai-meuay | Tai Meuay | Asia | Tai-Kadai | Tai-Kadai | 
  proto-kra | Proto-Kra | Asia | Kra | Tai-Kadai | proto,extinct,historical
  
  -- bases=[252,317,530,532] | base_names=[Lao,Kra,Zhuang,Shan] | members=2 --
  nadou | Nadou | Asia | Tai-Kadai | Tai-Kadai | 
  mulao-kra | Mulao Kra | Asia | Kra | Tai-Kadai | 
  
  -- bases=[28] | base_names=[Swahili] | members=2 --
  omaio | Omaio | Africa | Unclassified | Unclassified | 
  ongota | Ongota | Africa | Unclassified | Unclassified | 
  
  -- bases=[29,251,252] | base_names=[Vietnamese,Thai,Lao] | members=2 --
  aslians | Aslian languages | Asia | Aslian | Austroasiatic | family
  shn | Shan | Southeast Asia | Tai | Tai-Kadai | 
  
  -- bases=[317,318,530,533] | base_names=[Kra,Hlai,Zhuang,Kam-Sui] | members=2 --
  yuanmen-hlai | Yuanmen Hlai | Asia | Tai-Kadai | Tai-Kadai | 
  qau | Qau | Asia | Kra | Tai-Kadai | 
  
  -- bases=[360,365,366] | base_names=[Papuan,Engan Papuan,Dani Papuan] | members=2 --
  foia-foia | Foia Foia | Pacific | Inland Gulf | Papuan | 
  engan-languages | Engan | Pacific | Papuan | Papuan | family
  
  -- bases=[360,365,454] | base_names=[Papuan,Engan Papuan,Papuan Malay] | members=2 --
  goilalan | Goilalan | Pacific | Papuan | Papuan | family
  kolopom | Kolopom | Pacific | Papuan | Papuan | family
  
  -- bases=[360,366] | base_names=[Papuan,Dani Papuan] | members=2 --
  chimbu-wahgi-languages | ChimbuΓÇôWahgi languages | Pacific | TransΓÇôNew Guinea | Papuan | family
  hamtai | Hamtai | Pacific | Angan | Papuan | 
  
  -- bases=[360,366,454] | base_names=[Papuan,Dani Papuan,Papuan Malay] | members=2 --
  maiwa | Maiwa | Pacific | Southeast Papuan | Papuan | 
  hoia-hoia | Hoia Hoia | Pacific | Inland Gulf | Papuan | 
  
  -- bases=[94] | base_names=[Tani] | members=2 --
  tani | Tani | Sino-Tibetan region | Sino-Tibetan | Sino-Tibetan | 
  mrg | Mising | Sino-Tibetan region | Tani | Sino-Tibetan | 
  
  
  === Language Mixer base-set clusters (catalog languages only) ===
  Considered catalog languages (after filters): 3504
  Total distinct base sets (all sizes): 3171
  Clusters with identical base sets (size >= 2): 34
  Total language entries participating in these clusters: 367
  Columns: iso | name | region | family | category | tags (comma-separated); bases are shared per cluster.


