List title: Wikipedia: List of mutually intelligible languages ΓÇô full article list
Source: https://en.wikipedia.org/wiki/List_of_mutually_intelligible_languages

ISO	Status	RaceCount	Category	Family	Name	Races
spa	ok	10	Romance	Spanish	Spanish	Aasimar,Changeling,Dark Elf,Dhampir,Giff,Half-Elf,Halfling,Hexblood,Minotaur,Satyr
ita	ok	10	Romance	Italian	Italian	Aasimar,Changeling,Dark Elf,Dhampir,Giff,Half-Elf,Halfling,Hexblood,Minotaur,Satyr
judeo-spanish	ok	10	Romance	Judeo-Spanish	Judaeo-Spanish	Aasimar,Changeling,Dark Elf,Dhampir,Giff,Half-Elf,Halfling,Hexblood,Minotaur,Satyr
belarusian	ok	15	Slavic	East Slavic	Belarusian	Bugbear,Changeling,Dark Elf,Dhampir,Duergar,Dwarf,Giant,Goliath,Half-Orc,Hexblood,Hobgoblin,Orc,Reborn,Shadar-kai,Warforged
ukr	ok	15	Slavic	East Slavic	Ukrainian	Bugbear,Changeling,Dark Elf,Dhampir,Duergar,Dwarf,Giant,Goliath,Half-Orc,Hexblood,Hobgoblin,Orc,Reborn,Shadar-kai,Warforged
rus	ok	15	Slavic	East Slavic	Russian	Bugbear,Changeling,Dark Elf,Dhampir,Duergar,Dwarf,Giant,Goliath,Half-Orc,Hexblood,Hobgoblin,Orc,Reborn,Shadar-kai,Warforged
macedonian	ok	15	Slavic	Eastern South Slavic	Macedonian	Bugbear,Changeling,Dark Elf,Dhampir,Duergar,Dwarf,Giant,Goliath,Half-Orc,Hexblood,Hobgoblin,Orc,Reborn,Shadar-kai,Warforged
bul	ok	15	Slavic	Eastern South Slavic	Bulgarian	Bugbear,Changeling,Dark Elf,Dhampir,Duergar,Dwarf,Giant,Goliath,Half-Orc,Hexblood,Hobgoblin,Orc,Reborn,Shadar-kai,Warforged
serbo-croatian	ok	15	Slavic	Western South Slavic	Serbo-Croatian	Bugbear,Changeling,Dark Elf,Dhampir,Duergar,Dwarf,Giant,Goliath,Half-Orc,Hexblood,Hobgoblin,Orc,Reborn,Shadar-kai,Warforged
slovene	ok	15	Slavic	Western South Slavic	Slovene	Bugbear,Changeling,Dark Elf,Dhampir,Duergar,Dwarf,Giant,Goliath,Half-Orc,Hexblood,Hobgoblin,Orc,Reborn,Shadar-kai,Warforged
ces	ok	15	Slavic	Czech-Slovak	Czech	Bugbear,Changeling,Dark Elf,Dhampir,Duergar,Dwarf,Giant,Goliath,Half-Orc,Hexblood,Hobgoblin,Orc,Reborn,Shadar-kai,Warforged
slovak	ok	15	Slavic	Czech-Slovak	Slovak	Bugbear,Changeling,Dark Elf,Dhampir,Duergar,Dwarf,Giant,Goliath,Half-Orc,Hexblood,Hobgoblin,Orc,Reborn,Shadar-kai,Warforged
pol	ok	15	Slavic	Lechitic	Polish	Bugbear,Changeling,Dark Elf,Dhampir,Duergar,Dwarf,Giant,Goliath,Half-Orc,Hexblood,Hobgoblin,Orc,Reborn,Shadar-kai,Warforged
gle	ok	10	Celtic	Celtic	Irish	Dwarf,Elf,Firbolg,Gnome,Half-Elf,Halfling,Harengon,Hexblood,Satyr,Shifter
gla	ok	10	Celtic	Celtic	Scottish Gaelic	Dwarf,Elf,Firbolg,Gnome,Half-Elf,Halfling,Harengon,Hexblood,Satyr,Shifter
marathi	ok	5	Indo-Aryan	MarathiΓÇôKonkani	Marathi	Dragonborn,Genasi,Kalashtar,Loxodon,Serpent
konkani	ok	5	Indo-Aryan	MarathiΓÇôKonkani	Konkani	Dragonborn,Genasi,Kalashtar,Loxodon,Serpent
thai	ok	3	Tai-Kadai	Tai-Kadai	Central Thai	Draconic,Kobold,Yuan-ti
lao	ok	3	Tai-Kadai	Tai-Kadai	Lao	Draconic,Kobold,Yuan-ti
isan	ok	3	Tai-Kadai	Tai-Kadai	Isan	Draconic,Kobold,Yuan-ti
northern-thai	ok	3	Tai-Kadai	Tai-Kadai	Northern Thai	Draconic,Kobold,Yuan-ti
shn	ok	3	Tai-Kadai	Tai	Shan	Draconic,Kobold,Yuan-ti
tai-lue	ok	3	Tai-Kadai	Tai-Kadai	Tai Lue	Draconic,Kobold,Yuan-ti
hani	ok	6	Sino-Tibetan	Sino-Tibetan	Akha	Draconic,Dragonborn,Kobold,Owlin,Warforged,Yuan-ti
hani	ok	6	Sino-Tibetan	Sino-Tibetan	Honi	Draconic,Dragonborn,Kobold,Owlin,Warforged,Yuan-ti
hani	ok	6	Sino-Tibetan	Sino-Tibetan	Hani	Draconic,Dragonborn,Kobold,Owlin,Warforged,Yuan-ti
mandarin	ok	6	Sino-Tibetan	Sino-Tibetan	Dungan	Draconic,Dragonborn,Kobold,Owlin,Warforged,Yuan-ti
mandarin	ok	6	Sino-Tibetan	Sino-Tibetan	Mandarin	Draconic,Dragonborn,Kobold,Owlin,Warforged,Yuan-ti
mandarin	ok	6	Sino-Tibetan	Sino-Tibetan	Central Plains Mandarin	Draconic,Dragonborn,Kobold,Owlin,Warforged,Yuan-ti
azerbaijani	ok	2	Turkic	Oghuz Turkic	Azerbaijani	Dragonborn,Gith
crimean-tatar	ok	2	Turkic	Kipchak Turkic	Crimean Tatar	Dragonborn,Gith
gagauz	ok	2	Turkic	Oghuz Turkic	Gagauz	Dragonborn,Gith
tur	ok	2	Turkic	Oghuz Turkic	Turkish	Dragonborn,Gith
urum	ok	2	Turkic	Oghuz Turkic	Urum	Dragonborn,Gith
uzbek	ok	2	Turkic	Karluk Turkic	Uzbek	Dragonborn,Gith
uyghur	ok	2	Turkic	Karluk Turkic	Uyghur	Dragonborn,Gith
fin	ok	4	Uralic	Finnish	Finnish	Elf,Half-Elf,Harengon,Owlin
estonian	ok	4	Uralic	North Estonian	Estonian	Elf,Half-Elf,Harengon,Owlin
karelian	ok	4	Uralic	Karelian Proper	Karelian	Elf,Half-Elf,Harengon,Owlin
manchu	ok	1	Tungusic	Jurchenic	Manchu	Starspawn
xibe	ok	1	Tungusic	Jurchenic	Xibe	Starspawn
valencian	ok	10	Romance	Western	Valencian	Aasimar,Changeling,Dark Elf,Dhampir,Giff,Half-Elf,Halfling,Hexblood,Minotaur,Satyr
hindustani	ok	4	Indo-Aryan	Hindustani	Hindustani	Dragonborn,Genasi,Kalashtar,Serpent
hin	ok	4	Indo-Aryan	Western Hindi	Hindi	Dragonborn,Genasi,Kalashtar,Serpent
urdu	ok	5	Indo-Aryan	Indo-Aryan	Urdu	Dragonborn,Genasi,Gith,Kalashtar,Serpent
indonesian	ok	4	Austronesian	Austronesian	Indonesian	Aarakocra,Deepkin,Tortle,Triton
malaysian-malay	ok	3	Austronesian	Malayo-Polynesian	Malaysian	Deepkin,Tortle,Triton
assyrian-neo-aramaic	ok	7	Afroasiatic	Northeastern Neo-Aramaic	Northeastern Neo-Aramaic	Arachnid,Bugbear,Gnoll,Half-Orc,Lizardfolk,Thri-Kreen,Tiefling
zakho	ok	7	Afroasiatic	Northeastern Neo-Aramaic	Zakho Jewish Neo-Aramaic	Arachnid,Bugbear,Gnoll,Half-Orc,Lizardfolk,Thri-Kreen,Tiefling
zakho	ok	7	Afroasiatic	Northeastern Neo-Aramaic	Zakho Christian Neo-Aramaic	Arachnid,Bugbear,Gnoll,Half-Orc,Lizardfolk,Thri-Kreen,Tiefling
persian	ok	8	Iranian	Iranian	Persian	Centaur,Dragonborn,Genasi,Giant,Gith,Goliath,Kalashtar,Tiefling
iranian-persian	ok	8	Iranian	Iranian	Iranian Persian	Centaur,Dragonborn,Genasi,Giant,Gith,Goliath,Kalashtar,Tiefling
dari	ok	8	Iranian	Iranian	Dari	Centaur,Dragonborn,Genasi,Giant,Gith,Goliath,Kalashtar,Tiefling
tajik	ok	4	Indo-Iranian	Indo-Iranian	Tajik	Dragonborn,Genasi,Gith,Kalashtar
bosnian	ok	15	Slavic	Western South Slavic	Bosnian	Bugbear,Changeling,Dark Elf,Dhampir,Duergar,Dwarf,Giant,Goliath,Half-Orc,Hexblood,Hobgoblin,Orc,Reborn,Shadar-kai,Warforged
croatian	ok	15	Slavic	Western South Slavic	Croatian	Bugbear,Changeling,Dark Elf,Dhampir,Duergar,Dwarf,Giant,Goliath,Half-Orc,Hexblood,Hobgoblin,Orc,Reborn,Shadar-kai,Warforged
montenegrin	ok	15	Slavic	Western South Slavic	Montenegrin	Bugbear,Changeling,Dark Elf,Dhampir,Duergar,Dwarf,Giant,Goliath,Half-Orc,Hexblood,Hobgoblin,Orc,Reborn,Shadar-kai,Warforged
thai	ok	3	Tai-Kadai	Tai-Kadai	Sukhothai	Draconic,Kobold,Yuan-ti
southern-thai	ok	3	Tai-Kadai	Tai-Kadai	Southern Thai	Draconic,Kobold,Yuan-ti
chittagonian	ok	4	Indo-Aryan	BengaliΓÇôAssamese	Chittagonian	Dragonborn,Genasi,Kalashtar,Serpent
rohingya	ok	5	Indo-Aryan	Indo-Aryan	Rohingya	Dragonborn,Genasi,Gith,Kalashtar,Serpent
